
2022/09/03 (13:25:55) | ===> btop++ v.1.2.9
2022/09/03 (13:25:55) | ERROR: Invalid RGB decimal value: "ba1a84"
2022/09/03 (13:29:04) | ERROR: Invalid RGB decimal value: "ba1a84"
2022/09/03 (13:29:16) | ERROR: Invalid RGB decimal value: "ba1a84"

2023/10/08 (18:21:10) | ===> btop++ v.1.2.13
2023/10/08 (18:21:10) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/10/23 (12:12:22) | ===> btop++ v.1.2.13
2023/10/23 (12:12:22) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/10/23 (12:20:15) | ===> btop++ v.1.2.13
2023/10/23 (12:20:15) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/10/25 (13:15:50) | ===> btop++ v.1.2.13
2023/10/25 (13:15:50) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/11/27 (10:37:45) | ===> btop++ v.1.2.13
2023/11/27 (10:37:45) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
